"GEOGRAPHY_CODE","expected","COVID-19","SMR","COVID-19 AMR"
"E02000001",6.74668068959002,4,0.592884143186428,46.8724589660287
"E02000002",5.88528336195914,8,1.35932282406482,107.465858253743
"E02000003",6.19473391551581,10,1.61427433952461,127.621911648071
"E02000004",5.72885423630733,14,2.44376963045652,193.20046427685
"E02000005",4.39346889092018,7,1.59327405605777,125.961663290298
"E02000007",5.48911674262349,14,2.5505014115092,201.638505815414
"E02000008",5.93234015691711,11,1.8542429646712,146.593442029819
"E02000009",3.77382028753749,7,1.85488429937072,146.644144911203
"E02000010",4.25946038013297,7,1.64340066001071,129.924591315769
"E02000011",4.5866879304311,12,2.61626694076659,206.837821916075
"E02000012",6.02016054469312,8,1.32886821549172,105.058166283779
"E02000013",3.56067949173593,4,1.12338108759401,88.8126871608806
"E02000014",5.02722859139093,6,1.19350053233603,94.3562167596435
"E02000015",3.50561740811168,4,1.1410258263621,90.2076515959703
"E02000016",1.49935755401159,1,0.66695232056187,52.7281689637024
"E02000017",3.70989017936695,6,1.61729854791115,127.86100065919
"E02000018",3.81546988734196,13,3.40718191568704,269.366277321096
"E02000019",3.71192812553176,8,2.15521414463109,170.387735476103
"E02000020",5.03603442093328,6,1.1914136200221,94.1912288561469
"E02000021",4.15961078552452,6,1.44244264893245,114.037176824404
"E02000022",1.51884703308431,4,2.63357659650376,208.206295230096
"E02000023",2.09453826864422,4,1.90972877406015,150.980060146813
"E02000024",10.3311077901359,13,1.25833553033028,99.481966567549
"E02000025",6.3651319830447,16,2.51369493085461,198.728645138597
"E02000026",5.6229653677436,7,1.2448947383094,98.4193593453626
"E02000027",6.47436080664697,14,2.16237562565663,170.953910553247
"E02000028",5.20552740660235,9,1.72893144094967,136.686516163931
"E02000029",5.26567429015798,9,1.70918281383674,135.12522172787
"E02000030",10.1603699772256,10,0.984216128193655,77.8105311343344
"E02000031",8.44489267650003,16,1.8946362745999,149.786871612805
"E02000032",6.14393148979452,6,0.976573389525323,77.2063086083377
"E02000033",6.03986675762623,11,1.8212322293552,143.983666824461
"E02000034",6.73816428029149,10,1.48408373319853,117.329253423169
"E02000035",7.60528879527287,24,3.15569870468527,249.484422453173
"E02000036",7.64356306952256,12,1.56994845085377,124.117578766623
"E02000037",7.54150781988511,14,1.85639269153649,146.763395949888
"E02000038",7.40377936216893,29,3.91691845224092,309.665221335179
"E02000039",4.85319648338661,7,1.44234836235506,114.029722680486
"E02000040",5.63503407940897,13,2.30699580815375,182.387347671878
"E02000041",7.42704131667396,18,2.42357612305042,191.603998326208
"E02000042",8.42371782348411,21,2.49296099893743,197.089454102438
"E02000043",6.14291984191104,7,1.1395232528091,90.0888605673752
"E02000044",3.73586478940634,5,1.33837820206404,105.810010401219
"E02000045",4.84389726882147,5,1.03222668081408,81.6061675727504
"E02000046",4.45534897011941,5,1.12224654758435,88.7229922674361
"E02000047",5.82690143706558,11,1.887795789719,149.246073970344
"E02000048",7.96468140572022,5,0.627771500867443,49.6305968925179
"E02000049",2.84270176417413,7,2.46244614479762,194.676999215661
"E02000050",6.25378447416853,7,1.1193222326279,88.4918006689166
"E02000051",9.25050548597962,12,1.29722640759336,102.556616260268
"E02000052",5.62225023951106,7,1.24505308404927,98.4318779027904
"E02000053",4.86381910373396,5,1.02799875845742,81.2719148870416
"E02000054",3.94131120990034,9,2.28350402206061,180.53012515658
"E02000055",7.89474133202223,14,1.77333232479878,140.196778042563
"E02000056",8.49228931955543,15,1.76630816915988,139.641459687808
"E02000057",4.33975862047049,13,2.99555831024321,236.823982545053
"E02000058",8.50582951965812,8,0.940531429828322,74.3568897187155
"E02000059",6.07276631780728,21,3.45806159845495,273.388742536519
"E02000060",9.28616042671241,12,1.29224560513525,102.162842094576
"E02000061",6.79199968796308,18,2.6501768001992,209.518680416113
"E02000062",2.72546702804656,4,1.46763837494191,116.029110066454
"E02000063",4.42522347327881,8,1.80781830529171,142.923183739418
"E02000064",3.36179867564144,0,0,0
"E02000065",3.34484217085432,4,1.19587107423318,94.5436279580676
"E02000066",4.46855834943348,9,2.01407239118653,159.229297317903
"E02000067",4.68770574412319,6,1.27994382060392,101.19028295755
"E02000068",3.75418102763997,5,1.33184840133913,105.29377494434
"E02000069",5.40579691097422,6,1.10991961015396,87.7484445829974
"E02000070",7.05556241494664,4,0.566928582691909,44.8204544417028
"E02000071",4.89164312701866,8,1.63544228233097,129.295414881356
"E02000072",4.81720681678792,5,1.03794588651977,82.0583187018346
"E02000073",8.93738135096689,15,1.67834395903642,132.687151874257
"E02000074",5.59540200993389,13,2.32333619227363,183.679191943563
"E02000075",8.40606522598278,6,0.7137703359063,56.4295253388427
"E02000077",6.23971963566876,10,1.60263610929503,126.701812038152
"E02000078",6.82074863188351,5,0.73305736215341,57.9543263589639
"E02000079",9.61022285384507,27,2.8095082091876,222.115163246081
"E02000080",8.18614566959887,3,0.366472833624399,28.9727479704624
"E02000081",8.09578488506895,6,0.741126411481831,58.592252314461
"E02000082",7.21858873233266,8,1.10824986664877,87.6164373690581
"E02000083",6.96574742137492,8,1.14847689932762,90.7967213422986
"E02000084",8.80310297091796,8,0.908770467235122,71.845919518247
"E02000085",5.96407602093394,4,0.670682262593564,53.0230521324217
"E02000086",5.74582540944812,6,1.04423639293563,82.5556359386702
"E02000087",8.5556757565451,6,0.701288848564649,55.4427591890309
"E02000088",6.81275991489054,2,0.293566781302337,23.2089136950592
"E02000089",7.83990339301257,17,2.16839406658397,171.429718733729
"E02000090",10.2392859530829,18,1.75793508282485,138.97949705958
