"IZ2011_Code","SIMD2020v2_Rank","IMD IZ Deciles"
"S02001405",1972.95048722676,"3"
"S02001406",2027.04714828897,"3"
"S02001407",2010.67055733878,"3"
"S02001408",2727.52601314348,"4"
"S02001409",2269.49280230326,"3"
"S02001410",2564.74329054842,"4"
"S02001411",2839.1289597384,"4"
"S02001412",3013.73856932153,"4"
"S02001413",3854.62354570637,"6"
"S02001414",4024.11710526316,"7"
"S02001415",3465.71232876712,"5"
"S02001416",3523.78007699711,"6"
"S02001417",4592.72742405327,"8"
"S02001418",3226.23189174847,"5"
"S02001419",2149.11137646548,"3"
"S02001420",3809.17782217782,"6"
"S02001421",3904.66689038031,"6"
"S02001422",3936.37619853356,"6"
"S02001423",910.054422944022,"1st most deprived"
"S02001424",2421.23764757324,"3"
"S02001425",4497.34501271546,"8"
"S02001426",3372.19976076555,"5"
"S02001427",3424.28544061303,"5"
"S02001428",5816.82228696286,"9"
"S02001429",5710.89614136315,"9"
"S02001430",1305.77308868502,"2"
"S02001431",3940.58036236119,"6"
"S02001432",3612.45278532609,"6"
"S02001433",5031.59622113366,"8"
"S02001434",5467.39084507042,"9"
"S02001435",3756.20625759417,"6"
"S02001436",3165.48360655738,"5"
"S02001437",4188.15040972773,"7"
"S02001438",4442.85547290117,"7"
"S02001439",3353.42605363985,"5"
"S02001440",3580.16328963051,"6"
"S02001441",2656.54206807964,"4"
"S02001442",2881.684870188,"4"
"S02001443",4566.53190767142,"8"
"S02001444",4025.49527363184,"7"
"S02001445",5967.70835513693,"10 least deprived"
"S02001446",3613.60190686749,"6"
"S02001447",2715.38240479549,"4"
"S02001448",2918.25524193548,"4"
"S02001449",2125.61697080292,"3"
"S02001450",705.015463917526,"1st most deprived"
"S02001451",849.076320132013,"1st most deprived"
"S02001452",1215.49508081518,"2"
"S02001453",4965.82247607286,"8"
"S02001454",3023.03067484663,"4"
"S02001455",836.421369618559,"1st most deprived"
"S02001456",5323.71979918419,"9"
"S02001457",786.218307301126,"1st most deprived"
"S02001458",5337.43512195122,"9"
"S02001459",5767.61714132187,"9"
"S02001460",5086.63789615644,"9"
